commit	val_bpb	memory_gb	status	description
2a8a0b7	0.996205	44.0	keep	baseline (train.py as-is)
79738f1	1.001938	44.0	discard	reduce WARMDOWN_RATIO 0.5->0.2
66ef8b4	0.990328	43.9	keep	halve batch 2^19->2^18 (no grad accum, 2x steps)
a89fd11	1.019848	22.2	discard	TOTAL_BATCH_SIZE=2^17 DEVICE_BATCH_SIZE=64 too noisy
e04c4d8	1.010627	43.9	discard	MATRIX_LR 0.04->0.05 unstable
f6443a9	1.014852	43.9	discard	WARMDOWN_RATIO 0.5->0.3
9404455	1.020394	39.8	discard	SwiGLU MLP relu2 is better
17d9b0f	0.990586	63.6	discard	DEPTH=12 ASPECT_RATIO=40 same width deeper no gain
571990f	1.016408	40.3	discard	GQA n_kv_head=2
8c428b0	1.008336	40.3	discard	FINAL_LR_FRAC=0.1
1ff7ebe	1.005484	43.9	discard	WEIGHT_DECAY=0.0
2036903	1.001781	43.9	discard	WINDOW_PATTERN=LLLL all full attention
abbd93f	1.022616	34.0	discard	DEPTH=6 ASPECT_RATIO=85 same width shallower
b8bdabf	1.009569	44.0	discard	HEAD_DIM=64 8 heads vs 4
bda147f	1.001237	43.9	discard	EMBEDDING_LR=0.4
516a37b	1.010986	39.8	discard	MLP_RATIO=3 from 4
3e05bf7	1.007337	43.9	discard	cosine LR warmdown
0ca621f	1.002564	43.9	keep	softcap=20 marginal improvement
352d230	1.009238	43.9	discard	WARMUP_RATIO=0.05
6219720	1.037436	43.9	discard	Muon constant LR no warmdown
62b78c4	1.009886	43.9	discard	Muon momentum ramp 300->600
6a7ba9b	1.006645	43.9	discard	FINAL_LR_FRAC=0.02
47c4f4c	1.007083	43.9	discard	WINDOW_PATTERN=SSL
bfde7f4	1.009866	43.9	discard	gradient clipping norm=1.0
212f543	1.007122	65.6	discard	VE in all layers
6cc959b	1.007576	43.9	discard	x0_lambdas init=0.0
561bca7	0.000000	0.0	crash	max-autotune (too slow autotune)
e50ff81	1.012346	43.9	discard	MATRIX_LR=0.03
58f7411	0.000000	0.0	crash	LayerNorm dtype issue with flash attention
7d869cb	1.006542	43.9	discard	SCALAR_LR=0.2
24423be	1.018081	39.1	discard	DEPTH=7 ASPECT_RATIO=73 (fewer layers, more steps expected but got fewer)
8cfe4ee	0.983209	63.9	keep	AR=96 EMBD=1.0 beta1=0.85 WARMDOWN=0.7 768-dim NEW BEST
013e1f0	0.987808	63.9	discard	remove softcap on 768-dim (softcap=20 helps)
9aff98b	0.982915	63.9	keep	EMBEDDING_LR=1.5 on 768-dim (marginal improvement)
23b6d51	0.982122	63.9	keep	short_window //2->1//8 (128 tokens more steps NEW BEST)
dae8d0d	0.980226	63.9	keep	short_window //16 (64 tokens 1143 steps NEW BEST)
52c0d0e	0.984599	63.9	discard	WINDOW_PATTERN=SSSS all short (no full attn hurts)
6187d2b	0.980273	63.9	discard	WARMDOWN=0.6 (same as 0.7 within noise)
0a6d442	0.981969	71.6	discard	DEPTH=9 AR=85 768-dim more VRAM fewer steps
043ff55	0.987046	63.9	discard	UNEMBEDDING_LR=0.04 (too high destabilizes)
bd5a022	0.980444	63.9	discard	ADAM_BETAS beta2=0.98 (marginal worse)
6cc0f93	0.980321	63.9	discard	RoPE base=50000 (no improvement on GPU0)
195984e	0.980510	63.9	discard	ve_gate_channels=64 (slightly worse)
c75d0f1	0.983982	63.9	discard	WARMUP_RATIO=0.01 (hurts by stealing peak LR time)
35fea66	0.993909	74.0	discard	AR=112 n_embd=896 (much wider but way fewer steps)
3c840fb	0.982153	63.9	discard	WINDOW_PATTERN=SSLL (4 full layers reduces steps)
d0d85b2	0.978553	63.9	keep	QK norm BEFORE RoPE (norm->rope) NEW BEST
